Cuisine,American,1,3
Cuisine,Bakery,1,3
Cuisine,Bar Food,1,3
Cuisine,BBQ,1,3
Cuisine,Brazilian,1,3
Cuisine,Brunch,1,3
Cuisine,Chinese,1,3
Cuisine,Coffee,1,3
Cuisine,Coffeeshop,1,3
Cuisine,Columbian,1,3
Cuisine,Comfort,1,3
Cuisine,Diner,1,3
Cuisine,French,1,3
Cuisine,German,1,3
Cuisine,Indian,1,3
Cuisine,Italian,1,3
Cuisine,Japanese,1,3
Cuisine,Korean BBQ,1,3
Cuisine,Latin American,1,3
Cuisine,Mediterranean,1,3
Cuisine,Mexican,1,3
Cuisine,Middle Eastern,1,3
Cuisine,Pan-Asian,1,3
Cuisine,Pizza,1,3
Cuisine,Polish,1,3
Cuisine,Sandwiches,1,3
Cuisine,Seafood,1,3
Cuisine,South Western,1,3
Cuisine,Southern,1,3
Cuisine,Spanish,1,3
Cuisine,Steakhouse,1,3
Cuisine,Sushi,1,3
Cuisine,Tapas,1,3
Cuisine,Thai,1,3
Cuisine,Vegan,1,3
Cuisine,Vegetarian,1,3
Cuisine,Vietnamese,1,3
BarType,Lounge bar,2,2
BarType,Dive bar,1,4
BarType,Scene,1.5,2
BarType,Sophisticated,2,2
BarType,Hipster,1,4
BarType,Frat boy,2,2
BarType,Neighborhood vibe,1.5,3
BarType,Locals only,2.5,3
BarType,Cocktails,2.5,2
BarType,Bar games,1,3
BarType,Dancing,2,2
BarType,Sexy,3,2
BarType,Ethnic vibe,3,3
BarType,Pub,2,2
BarType,Beer lovers,2,3
BarType,Wine lovers,2,2
BarType,Happy hour,1.5,3
BarType,Karaoke,2.5,2
BarType,Gay,3,1
BarType,College crowd,2.5,2
BarType,Piano bar,3,2
BarType,Intimate,3,2
BarType,Mellow,2,2
BarType,Cheap drinks,1,4
Activity,Art galleries,2,1
Activity,Ballroom dancing,3,1
Activity,Biking,3,1
Activity,Bingo,3,1
Activity,Book club,2,1
Activity,Bowling,1.5,1
Activity,Boxing,1.5,1
Activity,Climbing,3,1
Activity,Clubs,1.5,1
Activity,Comedy,2,1
Activity,Cooking,1.5,1
Activity,Dancing,1,1
Activity,Dating,1,1
Activity,Drinking,1,1
Activity,Eating out,1,1
Activity,Jazz Music,2,1
Activity,Karaoke,2,1
Activity,Languages,2.5,1
Activity,Live music,1.5,1
Activity,Making,2,1
Activity,Martial Arts,1.5,1
Activity,Massage,1.5,1
Activity,Mothers and Babies,1,1
Activity,Movies,1,1
Activity,Museums,1.5,1
Activity,Musical Instruments,2,1
Activity,Pilates,1.5,1
Activity,Quiz nights,2.5,1
Activity,Reading,1.5,1
Activity,Running,1.5,1
Activity,Salsa,2.5,1
Activity,Shopping,1.5,1
Activity,Spa,1.5,1
Activity,Swimming,2,1
Activity,Theater,2,1
Activity,Walking,2,1
Activity,Wine-tasting,2.5,1
Activity,Yoga,1.5,1
